週,店タイプ,店舗番号,店サイズ,売上,平均気温,ガソリン価格,消費者物価指数,失業率,ISO週番号,祝日の有無,クリスマスセール,BlackFridayセール
2010-04-02 00:00:00,A,A19,203819,509504.63,45.26,2.957,131.9019677,8.185,13,FALSE,0,0
2010-04-02 00:00:00,A,A20,203742,743508.22,51,2.85,204.0252842,7.856,13,FALSE,0,0
2010-04-02 00:00:00,B,B10,126512,527022.74,63.66,3.086,126.6034839,9.524,13,FALSE,0,0
2010-04-02 00:00:00,A,A39,184109,448743.55,63.31,2.719,209.5938656,8.464,13,FALSE,0,0
2010-04-02 00:00:00,A,A27,204184,653118.32,46.9,2.957,135.7464988,8.058,13,FALSE,0,0
2010-04-02 00:00:00,A,A1,151315,488591.11,62.27,2.719,210.8204499,7.808,13,FALSE,0,0
2010-04-02 00:00:00,B,B4,205863,610369.33,48.77,2.74,126.6034839,7.896,13,FALSE,0,0
2010-04-02 00:00:00,B,B13,219622,648863.48,42.15,2.842,126.6034839,8.107,13,FALSE,0,0
2010-04-02 00:00:00,A,A14,200898,793687.89,47.74,2.85,181.8657537,8.899,13,FALSE,0,0
2010-04-02 00:00:00,A,A2,202307,648751.63,63.27,2.719,210.4798874,8.2,13,FALSE,0,0
2010-04-02 00:00:00,B,B6,202505,474917.57,64.94,2.719,212.3322805,7.092,13,FALSE,0,0
2010-04-09 00:00:00,B,B6,202505,550105.008,66.15,2.77,212.1308239,7.092,14,FALSE,0,0
2010-04-09 00:00:00,A,A2,202307,608039.84,65.41,2.77,210.2831653,8.2,14,FALSE,0,0
2010-04-09 00:00:00,A,A39,184109,419696.04,68.15,2.77,209.400638,8.464,14,FALSE,0,0
2010-04-09 00:00:00,A,A20,203742,621794.65,65.1,2.869,203.8488134,7.856,14,FALSE,0,0
2010-04-09 00:00:00,B,B10,126512,646147.308,65.29,3.004,126.6019032,9.524,14,FALSE,0,0
2010-04-09 00:00:00,A,A19,203819,467035.66,55.66,2.992,131.9408065,8.185,14,FALSE,0,0
2010-04-09 00:00:00,A,A27,204184,606989.07,62.62,2.992,135.7856359,8.058,14,FALSE,0,0
2010-04-09 00:00:00,A,A1,151315,478981.22,65.86,2.77,210.6228574,7.808,14,FALSE,0,0
2010-04-09 00:00:00,B,B4,205863,677244.312,54.16,2.773,126.6019032,7.896,14,FALSE,0,0
2010-04-09 00:00:00,B,B13,219622,725816.64,38.97,2.877,126.6019032,8.107,14,FALSE,0,0
2010-04-09 00:00:00,A,A14,200898,724113.49,65.45,2.869,181.7596377,8.899,14,FALSE,0,0
2010-04-16 00:00:00,A,A19,203819,489993.27,49.67,3.01,131.9809,8.185,15,FALSE,0,0
2010-04-16 00:00:00,A,A14,200898,721165.82,54.28,2.899,181.6924769,8.899,15,FALSE,0,0
2010-04-16 00:00:00,A,A27,204184,612962.57,54.95,3.01,135.82725,8.058,15,FALSE,0,0
2010-04-16 00:00:00,A,A1,151315,477455.39,66.32,2.808,210.4887,7.808,15,FALSE,0,0
2010-04-16 00:00:00,A,A39,184109,409527.07,66.33,2.808,209.2691428,8.464,15,FALSE,0,0
2010-04-16 00:00:00,B,B4,205863,850331.79,56.23,2.81,126.5621,7.896,15,FALSE,0,0
2010-04-16 00:00:00,A,A20,203742,677824.09,55.43,2.899,203.7307486,7.856,15,FALSE,0,0
2010-04-16 00:00:00,A,A2,202307,611564.84,68.07,2.808,210.1495463,8.2,15,FALSE,0,0
2010-04-16 00:00:00,B,B10,126512,694594.614,69.74,3.109,126.5621,9.524,15,FALSE,0,0
2010-04-16 00:00:00,B,B13,219622,864567.242,50.39,2.915,126.5621,8.107,15,FALSE,0,0
2010-04-16 00:00:00,B,B6,202505,614859.742,65.68,2.808,211.9942765,7.092,15,FALSE,0,0
2010-04-23 00:00:00,A,A2,202307,601875.49,65.11,2.795,210.1000648,8.2,16,FALSE,0,0
2010-04-23 00:00:00,B,B4,205863,948356.144,56.87,2.805,126.4713333,7.896,16,FALSE,0,0
2010-04-23 00:00:00,A,A20,203742,643655.29,50.65,2.902,203.6905586,7.856,16,FALSE,0,0
2010-04-23 00:00:00,A,A19,203819,477359.77,46.87,3.021,132.0226667,8.185,16,FALSE,0,0
2010-04-23 00:00:00,B,B13,219622,964850.432,55.66,2.936,126.4713333,8.107,16,FALSE,0,0
2010-04-23 00:00:00,A,A27,204184,610346.52,53.91,3.021,135.8721667,8.058,16,FALSE,0,0
2010-04-23 00:00:00,A,A14,200898,735086.53,53.47,2.902,181.6772564,8.899,16,FALSE,0,0
