週,店タイプ,店舗番号,店サイズ,売上,平均気温,ガソリン価格,消費者物価指数,失業率,ISO週番号,祝日の有無,クリスマスセール,BlackFridayセール
2012-07-06 00:00:00,A,A1,151315,568001.72,24.471,3.227,221.8837789,6.908,27,FALSE,0,0
2012-07-13 00:00:00,A,A1,151315,518950.48,23.136,3.256,221.9241579,6.908,28,FALSE,0,0
2012-07-20 00:00:00,A,A1,151315,488567.02,24.126,3.311,221.9327267,6.908,29,FALSE,0,0
2012-07-27 00:00:00,A,A1,151315,467645.31,24.798,3.407,221.9412954,6.908,30,FALSE,0,0
2012-08-03 00:00:00,A,A1,151315,522185.01,25.833,3.417,221.9498642,6.908,31,FALSE,0,0
2012-08-10 00:00:00,A,A1,151315,529600.49,25.515,3.494,221.9584329,6.908,32,FALSE,0,0
2012-08-17 00:00:00,A,A1,151315,525193.72,25.455,3.571,222.0384109,6.908,33,FALSE,0,0
2012-08-24 00:00:00,A,A1,151315,472193.54,23.298,3.62,222.1719457,6.908,34,FALSE,0,0
2012-08-31 00:00:00,A,A1,151315,495842.5,24.147,3.638,222.3054805,6.908,35,FALSE,0,0
2012-09-07 00:00:00,A,A1,151315,554626.47,25.188,3.73,222.4390153,6.908,36,TRUE,0,0
2012-09-14 00:00:00,A,A1,151315,520696.78,22.491,3.717,222.5820193,6.908,37,FALSE,0,0
2012-09-21 00:00:00,A,A1,151315,523507.02,20.961,3.721,222.7818386,6.908,38,FALSE,0,0
2012-09-28 00:00:00,A,A1,151315,,,,,,39,FALSE,0,0
2012-10-05 00:00:00,A,A1,151315,,,,,,40,FALSE,0,0
2012-10-12 00:00:00,A,A1,151315,,,,,,41,FALSE,0,0
2012-10-19 00:00:00,A,A1,151315,,,,,,42,FALSE,0,0
2012-07-06 00:00:00,A,A2,202307,690483.84,25.26,3.227,221.5215064,6.565,27,FALSE,0,0
2012-07-13 00:00:00,A,A2,202307,631967.55,24.051,3.256,221.5616784,6.565,28,FALSE,0,0
2012-07-20 00:00:00,A,A2,202307,625154.34,24.969,3.311,221.5701123,6.565,29,FALSE,0,0
2012-07-27 00:00:00,A,A2,202307,618143.62,25.911,3.407,221.5785461,6.565,30,FALSE,0,0
2012-08-03 00:00:00,A,A2,202307,667174.59,27.066,3.417,221.5869799,6.565,31,FALSE,0,0
2012-08-10 00:00:00,A,A2,202307,639255.12,26.565,3.494,221.5954138,6.565,32,FALSE,0,0
2012-08-17 00:00:00,A,A2,202307,654690.9,25.437,3.571,221.6751459,6.565,33,FALSE,0,0
2012-08-24 00:00:00,A,A2,202307,619049.04,23.073,3.62,221.8083518,6.565,34,FALSE,0,0
2012-08-31 00:00:00,A,A2,202307,653179.21,24.792,3.638,221.9415576,6.565,35,FALSE,0,0
2012-09-07 00:00:00,A,A2,202307,676200.39,26.295,3.73,222.0747635,6.565,36,TRUE,0,0
2012-09-14 00:00:00,A,A2,202307,675467.9,22.764,3.717,222.2174395,6.565,37,FALSE,0,0
2012-09-21 00:00:00,A,A2,202307,677308.66,21.327,3.721,222.4169362,6.565,38,FALSE,0,0
2012-09-28 00:00:00,A,A2,202307,,,,,,39,FALSE,0,0
2012-10-05 00:00:00,A,A2,202307,,,,,,40,FALSE,0,0
2012-10-12 00:00:00,A,A2,202307,,,,,,41,FALSE,0,0
2012-10-19 00:00:00,A,A2,202307,,,,,,42,FALSE,0,0
2012-07-06 00:00:00,B,B4,205863,1032326.386,24.111,3.187,130.7196333,4.077,27,FALSE,0,0
2012-07-13 00:00:00,B,B4,205863,1115549.76,23.058,3.224,130.683,4.077,28,FALSE,0,0
2012-07-20 00:00:00,B,B4,205863,710115.21,23.742,3.263,130.7012903,4.077,29,FALSE,0,0
2012-07-27 00:00:00,B,B4,205863,794566.932,24.318,3.356,130.7195806,4.077,30,FALSE,0,0
2012-08-03 00:00:00,B,B4,205863,986148.142,25.158,3.374,130.737871,4.077,31,FALSE,0,0
2012-08-10 00:00:00,B,B4,205863,1125287.44,24.963,3.476,130.7561613,4.077,32,FALSE,0,0
2012-08-17 00:00:00,B,B4,205863,714518.51,24.423,3.552,130.7909677,4.077,33,FALSE,0,0
2012-08-24 00:00:00,B,B4,205863,840080.952,22.728,3.61,130.8381613,4.077,34,FALSE,0,0
2012-08-31 00:00:00,B,B4,205863,958923.574,22.941,3.646,130.8853548,4.077,35,FALSE,0,0
2012-09-07 00:00:00,B,B4,205863,1145053.504,24.627,3.709,130.9325484,4.077,36,TRUE,0,0
2012-09-14 00:00:00,B,B4,205863,714939.63,20.46,3.706,130.9776667,4.077,37,FALSE,0,0
2012-09-21 00:00:00,B,B4,205863,895910.796,20.691,3.721,131.0103333,4.077,38,FALSE,0,0
2012-09-28 00:00:00,B,B4,205863,,,,,,39,FALSE,0,0
2012-10-05 00:00:00,B,B4,205863,,,,,,40,FALSE,0,0
2012-10-12 00:00:00,B,B4,205863,,,,,,41,FALSE,0,0
2012-10-19 00:00:00,B,B4,205863,,,,,,42,FALSE,0,0
2012-07-06 00:00:00,B,B6,202505,779381.386,24.885,3.227,223.4919851,5.668,27,FALSE,0,0
2012-07-13 00:00:00,B,B6,202505,778979.136,24.081,3.256,223.5332824,5.668,28,FALSE,0,0
2012-07-20 00:00:00,B,B6,202505,474219.92,24.471,3.311,223.5424501,5.668,29,FALSE,0,0
2012-07-27 00:00:00,B,B6,202505,542686.944,25.734,3.407,223.5516178,5.668,30,FALSE,0,0
2012-08-03 00:00:00,B,B6,202505,683684.582,26.265,3.417,223.5607856,5.668,31,FALSE,0,0
2012-08-10 00:00:00,B,B6,202505,766973.84,26.112,3.494,223.5699533,5.668,32,FALSE,0,0
2012-08-17 00:00:00,B,B6,202505,457788.85,26.259,3.571,223.6510224,5.668,33,FALSE,0,0
2012-08-24 00:00:00,B,B6,202505,523263.768,23.709,3.62,223.7860175,5.668,34,FALSE,0,0
2012-08-31 00:00:00,B,B6,202505,629940.262,25.074,3.638,223.9210125,5.668,35,FALSE,0,0
2012-09-07 00:00:00,B,B6,202505,773688.4,25.899,3.73,224.0560076,5.668,36,TRUE,0,0
2012-09-14 00:00:00,B,B6,202505,434004.16,22.923,3.717,224.2004678,5.668,37,FALSE,0,0
2012-09-21 00:00:00,B,B6,202505,537264.36,21.243,3.721,224.4017192,5.668,38,FALSE,0,0
2012-09-28 00:00:00,B,B6,202505,,,,,,39,FALSE,0,0
2012-10-05 00:00:00,B,B6,202505,,,,,,40,FALSE,0,0
2012-10-12 00:00:00,B,B6,202505,,,,,,41,FALSE,0,0
2012-10-19 00:00:00,B,B6,202505,,,,,,42,FALSE,0,0
2012-07-06 00:00:00,B,B10,126512,670288.822,26.061,3.666,130.7196333,7.17,27,FALSE,0,0
2012-07-13 00:00:00,B,B10,126512,720664.448,26.94,3.723,130.683,7.17,28,FALSE,0,0
2012-07-20 00:00:00,B,B10,126512,463834.35,25.335,3.589,130.7012903,7.17,29,FALSE,0,0
2012-07-27 00:00:00,B,B10,126512,536860.464,25.194,3.769,130.7195806,7.17,30,FALSE,0,0
2012-08-03 00:00:00,B,B10,126512,664054.608,25.428,3.595,130.737871,7.17,31,FALSE,0,0
2012-08-10 00:00:00,B,B10,126512,771750.224,27.234,3.811,130.7561613,7.17,32,FALSE,0,0
2012-08-17 00:00:00,B,B10,126512,491227.08,26.649,4.002,130.7909677,7.17,33,FALSE,0,0
2012-08-24 00:00:00,B,B10,126512,571201.764,24.75,4.055,130.8381613,7.17,34,FALSE,0,0
2012-08-31 00:00:00,B,B10,126512,624146.054,26.091,3.886,130.8853548,7.17,35,FALSE,0,0
2012-09-07 00:00:00,B,B10,126512,756794.576,24.921,4.124,130.9325484,7.17,36,TRUE,0,0
2012-09-14 00:00:00,B,B10,126512,461868.36,23.541,3.966,130.9776667,7.17,37,FALSE,0,0
2012-09-21 00:00:00,B,B10,126512,577489.692,24.579,4.125,131.0103333,7.17,38,FALSE,0,0
2012-09-28 00:00:00,B,B10,126512,,,,,,39,FALSE,0,0
2012-10-05 00:00:00,B,B10,126512,,,,,,40,FALSE,0,0
2012-10-12 00:00:00,B,B10,126512,,,,,,41,FALSE,0,0
2012-10-19 00:00:00,B,B10,126512,,,,,,42,FALSE,0,0
2012-07-06 00:00:00,B,B13,219622,1033072.838,23.769,3.63,130.7196333,5.765,27,FALSE,0,0
2012-07-13 00:00:00,B,B13,219622,1063058.272,25.104,3.595,130.683,5.765,28,FALSE,0,0
2012-07-20 00:00:00,B,B13,219622,692239.3,22.707,3.556,130.7012903,5.765,29,FALSE,0,0
2012-07-27 00:00:00,B,B13,219622,760969.908,24.126,3.537,130.7195806,5.765,30,FALSE,0,0
2012-08-03 00:00:00,B,B13,219622,949637.836,24.597,3.512,130.737871,5.765,31,FALSE,0,0
2012-08-10 00:00:00,B,B13,219622,1083039.584,24.507,3.509,130.7561613,5.765,32,FALSE,0,0
2012-08-17 00:00:00,B,B13,219622,702670.06,23.82,3.545,130.7909677,5.765,33,FALSE,0,0
2012-08-24 00:00:00,B,B13,219622,789535.572,23.211,3.582,130.8381613,5.765,34,FALSE,0,0
2012-08-31 00:00:00,B,B13,219622,940552.662,23.754,3.624,130.8853548,5.765,35,FALSE,0,0
2012-09-07 00:00:00,B,B13,219622,1115554.768,21.195,3.689,130.9325484,5.765,36,TRUE,0,0
2012-09-14 00:00:00,B,B13,219622,663190.59,20.565,3.749,130.9776667,5.765,37,FALSE,0,0
